Gender,Age,Working_professional,Annual_income,Mode_of_investment,Investment_per_month,Motivation_cause,Resources_used,Goal_for_investment,Duration_to_save(in_Years),Mode_of_investment_numeric
Male,26,1,500000,Marketing ,10000,Agents/Investment brokers,Brokers,Regarding your / Your Siblings marriage,7,2
Female,30,0,280000,Mutual Funds,0,Self Interest ,Books,Regarding your / Your Siblings marriage,21,4
Female,53,1,300000,Mutual Funds,3000,Self ,Books,All the above ,15,7
Female,37,1,500000,"Stocks - Intraday, long term",7000,Self ,Investors in bank,All the above ,1,4
Female,21,1,180000,Mutual Funds,10000,Self,Social media/ Articles,Regarding your / Your Siblings marriage,1,1
Male,36,0,360000,"Stocks - Intraday, long term",0,Self motivation ,Family members/Friends,Wealth generation,7,3
Female,53,1,120000,Mutual Funds,5000,Friends,Mobile applications,Construction of own House / Buying a new Car,6,6
Female,27,0,0,"Banking - RD, FD",7000,Self ,Books,Planning for finacial freedom after Retirement,1,0
Female,31,0,300000,Gold / Any other Materialistic investment,3000,Self,Mobile applications,Wealth generation,21,0
Male,20,1,280000,Chit fund,0,Self Interest ,Books,Children's education/ Marriage,7,4
Male,33,0,80,Gold / Any other Materialistic investment,2000,Through Bank,Family members/Friends,Tax saving,7,1
Male,31,0,180000,Mutual Funds,2000,Schemes,Books,Regarding your / Your Siblings marriage,7,5
Male,32,0,120000,Gold / Any other Materialistic investment,5000,Through Bank,Family members/Friends,Tax saving,6,3
Male,33,1,250000,"Stocks - Intraday, long term",0,No one,Brokers,Planning for finacial freedom after Retirement,5,5
Male,57,1,200000,Not prepared ,3000,Through Bank,News articles / Current affairs,Tax saving,1,6
Female,19,0,180000,"Stocks - Intraday, long term",3000,Self motivation ,Mobile applications,Construction of own House / Buying a new Car,2,7
Female,57,0,260000,Not prepared ,7000,Friends,News articles / Current affairs,Children's education/ Marriage,4,2
Male,26,0,80,Chit fund,1000,Self Interest ,Social media/ Articles,Planning for finacial freedom after Retirement,1,7
Male,38,0,600000,Marketing ,10000,No one,Investors in bank,Tax saving,6,8
Female,30,1,350000,Marketing ,5000,Friends,News articles / Current affairs,Wealth generation,6,7
Male,54,1,384000,Mutual Funds,2000,Agents/Investment brokers,Investors in bank,Wealth generation,10,8
Male,55,1,400000,"Real estate, Bonds",1000,Social media/ Articles,Investors in bank,Regarding your / Your Siblings marriage,20,1
Male,24,1,280000,Marketing ,0,Agents/Investment brokers,Books,Personal Savings,25,4
Female,25,0,250000,"Banking - RD, FD",0,Agents/Investment brokers,Investors in bank,All the above ,6,2
Female,25,0,80,Chit fund,10000,Self Interest ,Social media/ Articles,Personal Savings,6,8
Female,25,0,600000,"Stocks - Intraday, long term",0,No one,Brokers,All the above ,15,4
Male,50,1,280000,Crypto currency,3000,Through Bank,Family members/Friends,Children's education/ Marriage,8,6
Male,21,0,500000,"Banking - RD, FD",5000,Agents/Investment brokers,Books,Regarding your / Your Siblings marriage,9,7
Female,44,0,400000,"Banking - RD, FD",3000,Self motivation ,News articles / Current affairs,Construction of own House / Buying a new Car,15,8
Female,56,0,260000,Crypto currency,7000,Self ,Mobile applications,Regarding your / Your Siblings marriage,25,4
Male,38,0,280000,"Stocks - Intraday, long term",0,Friends,Family members/Friends,Personal Savings,3,1
Male,30,0,360000,"Real estate, Bonds",1000,Family member,Family members/Friends,Regarding your / Your Siblings marriage,7,8
Female,26,1,350000,Crypto currency,0,Self Interest ,Family members/Friends,Regarding your / Your Siblings marriage,7,8
Male,58,1,0,Mutual Funds,2000,Friends,Investors in bank,Tax saving,1,3
Female,54,0,384000,Not prepared ,7000,Family member,Books,Planning for finacial freedom after Retirement,21,4
Male,38,1,180000,Not prepared ,2000,Self ,Family members/Friends,Personal Savings,4,3
Female,58,1,600000,Chit fund,7000,Schemes,News articles / Current affairs,Regarding your / Your Siblings marriage,15,2
Female,30,1,180000,"Stocks - Intraday, long term",10000,Social media/ Articles,News articles / Current affairs,Wealth generation,25,7
Female,34,1,400000,Gold / Any other Materialistic investment,3000,Through Bank,Brokers,Personal Savings,5,3
Female,59,0,600000,"Stocks - Intraday, long term",2000,Family member,Social media/ Articles,Tax saving,21,7
Female,27,1,260000,Mutual Funds,0,Self motivation ,Investors in bank,Children's education/ Marriage,6,6
Male,46,1,200000,"Real estate, Bonds",2000,Self ,Books,Wealth generation,8,5
Female,60,0,180000,Mutual Funds,7000,Schemes,Mobile applications,All the above ,3,6
Male,44,1,360000,"Banking - RD, FD",7000,Through Bank,News articles / Current affairs,Tax saving,7,7
Female,28,0,384000,"Real estate, Bonds",5000,Through Bank,Brokers,Tax saving,5,0
Male,43,0,500000,Mutual Funds,1000,Self ,News articles / Current affairs,Personal Savings,2,3
Male,51,1,600000,"Banking - RD, FD",10000,Family member,Brokers,Tax saving,9,2
Female,32,0,200000,Not prepared ,7000,Self motivation ,Books,Planning for finacial freedom after Retirement,21,5
Female,19,1,350000,Gold / Any other Materialistic investment,3000,Self Interest ,Brokers,Planning for finacial freedom after Retirement,9,0
Male,32,0,0,Marketing ,2000,Family member,Mobile applications,Children's education/ Marriage,9,8
Male,33,0,200000,"Real estate, Bonds",3000,Family member,Books,Construction of own House / Buying a new Car,5,1
Female,50,1,600000,"Banking - RD, FD",2000,Self ,Family members/Friends,Children's education/ Marriage,9,5
Female,55,1,200000,"Real estate, Bonds",0,Agents/Investment brokers,Mobile applications,Wealth generation,3,0
Male,41,1,250000,Marketing ,1000,Schemes,Investors in bank,Children's education/ Marriage,20,3
Female,22,1,400000,"Stocks - Intraday, long term",7000,Schemes,Brokers,Children's education/ Marriage,8,2
Male,47,0,400000,Gold / Any other Materialistic investment,3000,Social media/ Articles,Books,Children's education/ Marriage,15,3
Female,33,1,400000,Chit fund,1000,Schemes,Books,Children's education/ Marriage,6,7
Male,31,1,80,Crypto currency,2000,Schemes,Investors in bank,Construction of own House / Buying a new Car,1,6
Female,38,0,250000,"Stocks - Intraday, long term",10000,Family member,Social media/ Articles,Personal Savings,6,2
Male,39,1,360000,"Stocks - Intraday, long term",10000,Social media/ Articles,Brokers,Personal Savings,20,1
Female,29,0,0,Marketing ,1000,Through Bank,Investors in bank,Wealth generation,1,8
Female,22,1,384000,Gold / Any other Materialistic investment,2000,No one,Brokers,Personal Savings,4,2
Male,26,1,80,Chit fund,2000,Schemes,Mobile applications,Personal Savings,21,7
Male,23,1,384000,Chit fund,7000,Friends,Mobile applications,Personal Savings,1,3
Male,34,0,120000,Mutual Funds,7000,Self Interest ,Books,Wealth generation,25,3
Female,27,1,120000,"Stocks - Intraday, long term",0,Friends,Social media/ Articles,Tax saving,10,4
Female,46,0,500000,Mutual Funds,10000,Through Bank,Investors in bank,Tax saving,8,6
Male,49,1,500000,Chit fund,5000,Self motivation ,Mobile applications,Wealth generation,9,0
Female,51,1,600000,"Banking - RD, FD",10000,Self motivation ,Books,Tax saving,7,4
Female,58,1,400000,"Real estate, Bonds",2000,Self,Social media/ Articles,Children's education/ Marriage,3,7
Female,45,1,150000,"Real estate, Bonds",1000,Family member,Brokers,All the above ,15,7
Male,46,1,384000,Mutual Funds,2000,No one,Brokers,Regarding your / Your Siblings marriage,2,4
Male,44,1,280000,Gold / Any other Materialistic investment,7000,Friends,Brokers,Construction of own House / Buying a new Car,9,8
Female,28,1,384000,Not prepared ,2000,No one,Investors in bank,Children's education/ Marriage,15,6
Female,60,0,350000,"Stocks - Intraday, long term",2000,Through Bank,Mobile applications,Regarding your / Your Siblings marriage,2,5
Female,59,0,260000,Crypto currency,5000,Through Bank,Books,Planning for finacial freedom after Retirement,5,5
Male,54,0,280000,Gold / Any other Materialistic investment,1000,Social media/ Articles,Books,Personal Savings,15,3
Male,20,0,500000,Marketing ,3000,Family member,Investors in bank,Personal Savings,25,1
Female,59,0,260000,Gold / Any other Materialistic investment,1000,Self ,Family members/Friends,Planning for finacial freedom after Retirement,7,8
Female,22,0,300000,Not prepared ,3000,Self Interest ,Mobile applications,Tax saving,5,5
Female,50,1,180000,"Stocks - Intraday, long term",7000,Social media/ Articles,Brokers,Wealth generation,4,8
Male,51,1,0,"Stocks - Intraday, long term",10000,No one,Mobile applications,All the above ,10,0
Male,43,0,400000,"Banking - RD, FD",0,Self Interest ,Brokers,Personal Savings,9,5
Female,42,1,200000,"Stocks - Intraday, long term",0,No one,Brokers,All the above ,10,4
Male,33,0,600000,"Real estate, Bonds",1000,Self Interest ,Mobile applications,Regarding your / Your Siblings marriage,9,2
Male,22,0,600000,Not prepared ,3000,Friends,News articles / Current affairs,Children's education/ Marriage,2,3
Female,40,1,300000,Crypto currency,10000,Friends,Family members/Friends,Wealth generation,20,1
Female,40,1,120000,Crypto currency,1000,Self Interest ,Family members/Friends,Planning for finacial freedom after Retirement,1,7
Male,38,1,400000,Marketing ,7000,Friends,News articles / Current affairs,Planning for finacial freedom after Retirement,15,6
Female,33,1,250000,Marketing ,2000,Friends,Books,Regarding your / Your Siblings marriage,1,7
Female,33,1,0,"Stocks - Intraday, long term",10000,Self ,News articles / Current affairs,Children's education/ Marriage,10,2
Male,48,0,350000,Crypto currency,7000,Self Interest ,Mobile applications,Wealth generation,7,8
Female,31,0,600000,Mutual Funds,5000,Friends,News articles / Current affairs,Wealth generation,4,2
Female,58,0,600000,Crypto currency,10000,Self Interest ,Investors in bank,Regarding your / Your Siblings marriage,8,4
Male,28,0,600000,Crypto currency,5000,No one,Investors in bank,Children's education/ Marriage,25,6
Female,24,1,600000,"Banking - RD, FD",7000,Self ,Brokers,All the above ,7,8
Female,42,1,150000,"Banking - RD, FD",3000,Family member,Books,Children's education/ Marriage,20,3
Male,51,1,400000,Gold / Any other Materialistic investment,2000,Friends,News articles / Current affairs,Tax saving,10,6
Female,28,1,120000,Crypto currency,5000,Agents/Investment brokers,Books,All the above ,3,4
Male,34,1,384000,"Real estate, Bonds",2000,Family member,Investors in bank,Construction of own House / Buying a new Car,20,7
Female,46,0,180000,"Stocks - Intraday, long term",10000,Agents/Investment brokers,Mobile applications,Children's education/ Marriage,4,1
Male,54,0,384000,"Banking - RD, FD",3000,Schemes,News articles / Current affairs,All the above ,5,4
Male,46,0,384000,Mutual Funds,1000,Through Bank,Mobile applications,Construction of own House / Buying a new Car,2,7
Female,43,1,500000,"Real estate, Bonds",10000,Social media/ Articles,News articles / Current affairs,Wealth generation,9,2
Female,21,0,80,Not prepared ,2000,Schemes,Investors in bank,Construction of own House / Buying a new Car,7,7
Male,47,1,384000,Marketing ,7000,Self ,Books,Regarding your / Your Siblings marriage,7,6
Male,30,0,280000,Crypto currency,10000,Self Interest ,Investors in bank,Children's education/ Marriage,5,3
Female,60,0,150000,"Real estate, Bonds",2000,Through Bank,Social media/ Articles,Construction of own House / Buying a new Car,8,8
Female,45,0,360000,Gold / Any other Materialistic investment,0,No one,Mobile applications,Personal Savings,10,5
Female,22,1,200000,Mutual Funds,1000,Social media/ Articles,Family members/Friends,Regarding your / Your Siblings marriage,2,0
Male,32,0,360000,"Stocks - Intraday, long term",3000,Schemes,Brokers,Wealth generation,21,0
Male,42,0,150000,Not prepared ,2000,Family member,Family members/Friends,Wealth generation,3,7
Male,48,1,350000,"Real estate, Bonds",1000,No one,Family members/Friends,Regarding your / Your Siblings marriage,21,4
Female,33,1,0,"Real estate, Bonds",10000,Self ,Brokers,Construction of own House / Buying a new Car,9,4
Male,54,0,600000,Marketing ,5000,Family member,Social media/ Articles,Wealth generation,21,1
Male,37,1,150000,Not prepared ,7000,Self motivation ,Investors in bank,Children's education/ Marriage,15,6
Female,30,0,280000,Marketing ,10000,Schemes,Investors in bank,Planning for finacial freedom after Retirement,2,1
Male,60,1,600000,"Banking - RD, FD",0,Through Bank,Social media/ Articles,All the above ,3,1
Female,37,1,600000,Marketing ,1000,Agents/Investment brokers,News articles / Current affairs,Planning for finacial freedom after Retirement,15,0
Female,56,1,500000,"Real estate, Bonds",3000,Self Interest ,Investors in bank,Regarding your / Your Siblings marriage,5,5
Female,37,1,384000,"Real estate, Bonds",2000,Self Interest ,Brokers,Planning for finacial freedom after Retirement,2,8
Female,59,1,0,Marketing ,2000,Through Bank,Investors in bank,Construction of own House / Buying a new Car,3,0
Female,54,1,200000,Gold / Any other Materialistic investment,5000,Self Interest ,Family members/Friends,Children's education/ Marriage,6,7
Male,26,1,150000,Chit fund,1000,Self Interest ,Social media/ Articles,Tax saving,1,4
Male,26,1,500000,Marketing ,5000,Social media/ Articles,Books,Regarding your / Your Siblings marriage,25,4
Female,48,1,350000,Marketing ,2000,Self Interest ,Investors in bank,Planning for finacial freedom after Retirement,9,1
Female,51,0,400000,Marketing ,0,Schemes,Brokers,Planning for finacial freedom after Retirement,25,4
Male,37,1,80,Gold / Any other Materialistic investment,10000,Self,Social media/ Articles,Construction of own House / Buying a new Car,6,2
Male,27,0,360000,Gold / Any other Materialistic investment,0,Self Interest ,Investors in bank,Wealth generation,1,7
Male,24,0,200000,"Banking - RD, FD",7000,Family member,Social media/ Articles,Children's education/ Marriage,8,2
Female,28,0,80,Chit fund,5000,Agents/Investment brokers,Social media/ Articles,Personal Savings,10,2
Female,19,1,0,"Stocks - Intraday, long term",1000,Through Bank,Family members/Friends,Tax saving,6,6
Male,59,1,120000,Crypto currency,5000,Friends,Mobile applications,Children's education/ Marriage,8,5
Male,41,0,600000,"Real estate, Bonds",1000,Schemes,Investors in bank,All the above ,9,6
Male,42,0,80,Not prepared ,5000,Social media/ Articles,Books,Regarding your / Your Siblings marriage,25,5
Male,54,0,280000,Chit fund,10000,Schemes,Brokers,Regarding your / Your Siblings marriage,21,7
Female,24,1,500000,Chit fund,3000,Self Interest ,Family members/Friends,Regarding your / Your Siblings marriage,25,2
Male,38,0,120000,Chit fund,5000,Agents/Investment brokers,Brokers,Children's education/ Marriage,2,0
Female,47,0,300000,"Stocks - Intraday, long term",10000,Agents/Investment brokers,Family members/Friends,Planning for finacial freedom after Retirement,4,3
Female,59,1,0,"Banking - RD, FD",1000,Family member,Mobile applications,Tax saving,1,5
Female,39,0,180000,"Stocks - Intraday, long term",10000,Self motivation ,Social media/ Articles,Regarding your / Your Siblings marriage,15,6
Male,29,0,200000,"Real estate, Bonds",2000,Friends,Investors in bank,Tax saving,2,0
Male,49,0,150000,Chit fund,3000,Friends,Brokers,Planning for finacial freedom after Retirement,21,8
